,Total abundance of ASV,Maximum abundance in samples,Number of Samples
a8ce070861673fd9dc0bfe430dc7709e,15,15,1
f91e9d338af6ecbafc02729c2892adf6,15,15,1
7c4b23a400a2031dd0d0ce6fd5ba606e,15,15,1
08e3e805b1b3fcffc84355f4c59d3ee3,15,15,1
66f65ddeb69aeead881d386c785d91f0,15,15,1
232dcb5143c6155c112b06b7f459b873,15,15,1
95b4583e5a904e78a694abf5a89d3f4e,15,15,1
af2bd3b2e551e669893d020d9fbc3dbd,15,15,1
a88348b884677bcd77502fdc77b2a9b0,15,15,1
b67adcb6888c8ba98abdb5db03033b3c,15,15,1
8b5578a210bc1149d55138255727a883,15,15,1
0f40b7c131388397be1d910591db22b2,15,15,1
3a221745bde995f32c21e270b24b862a,15,15,1
70b047045e855b388f427d2d47e63b62,15,15,1
79bdf72f1d9de91c561f9f4711701fab,15,15,1
4877112e5c231ff4a22b0b0cd2d345ac,15,15,1
2e45923b1ff3fc26a83d92651ad745c1,15,15,1
97e12aecc4d16e9158dd1220d15bd18b,15,15,1
424adb82257840bbeeed80b0d785dc3f,15,15,1
17d7fbab00b814dce496b48bc117f800,15,15,1
869f8c932340f00b4b84a94215602ee7,15,15,1
f0b122ffb0a2039e063869e267c0d624,15,15,1
0d6cb5c209cfc469fdc1d5c6e6d710b3,15,15,1
c0e1edf71558bdc9fba2e57573595dba,15,15,1
e58ef81c18e4528e614f1838f73bc299,15,15,1
e91eec602c53ebd29fd5cfef9e3900c7,15,15,1
34a501c074752dcf64dc13804a31f234,15,15,1
19495269f333c5cf85bda96b038d4a6a,15,15,1
45c21bf7c62495ff43db27c5849fb09f,15,15,1
c99d559f6b6f562124b7f6b1f6ae0761,15,15,1
e669974b7dea106d111018fe6a517db2,15,15,1
b5ce4a65562ca9f55136f0688e60bdd9,15,15,1
ba87688e1d3dcf5964f0438ceb3578b5,15,15,1
b487d4de2b5132b9597bdaa13382c1c0,15,15,1
7344f0f41bd882c1b2d731ffef96e242,15,15,1
ee69a2b793756d7decbd6380f99f4e21,15,15,1
8ca15cc418f27996f294f43296c0a824,15,15,1
d688e98be96e97941955dee7a988d345,15,15,1
d80137a2ee478d0fd96447f82f57e822,15,12,2
b36981e5f5c2f9d21f6c74e71c9d6225,15,15,1
bda3ec74e7132e6a075bc707b63590dd,15,15,1
d47799fb47208b857a1d92c738cdf5c9,15,15,1
a094906dba6dd4beafcc206121e312c6,15,15,1
b1f60cae28dc44c9de6e52aaee130daf,15,15,1
be1ab86c0767211f06940d30baaab1d5,15,15,1
3c445c51734354b2406cf949e6bdc216,15,15,1
2250e7da1b59860afd685b745d7eb44e,15,15,1
ffb0eb8f896173e073d107deaa56e8b5,15,15,1
de2d9bcb9a85e245a1aaa058077841d0,15,15,1
fd4edf9db7d479b28eca13b7a10f760e,15,15,1
ff452001f04eb1add7b4821a4b0fd10f,15,15,1
c5f844946adb5787043dd0c87a66cdf2,15,15,1
fc497f519bfea112b8ad9e6e16f1b39d,15,15,1
2458c8ae443b6fb1a3f473b2bcde1684,15,15,1
b4236fbf407af683f45f8a588dcc305f,15,15,1
55c3520990dcbc0bed1b28ffc015d4d8,15,15,1
73729bf8469f8d4d75ab28a26145381b,15,15,1
45b690221dd99fd8a769f50c62ce4b03,15,15,1
84671a967bc04f0e04a129f8ba40b2dd,15,15,1
6be1c9cc05c8e30899bd0fdac86b02d2,15,15,1
b65652886ac431eab068494f11169ddd,15,15,1
60f1f4cd42ffb154f6f3dba7ac08f110,15,15,1
29c9f445ef3ec81e958daffbc1342cf0,15,15,1
f728c6e99f613e2722dc42ca4ffc6368,15,15,1
fc1b2bddd00673f63f7e4cad211fd00a,15,15,1
b23d1a69f579eb90cb0249a6035afe81,15,15,1
75014fe9f6b26cc9ea4b56470be86d44,15,15,1
10002cd503bed759a0698a454acfbb6f,15,15,1
6db8894e36843a0c1d18bfcd73633c48,15,15,1
4e39dd4cc33a1d1016dd990a177e186f,15,15,1
b95691b83b75e99a5f43cf1a3610044d,15,15,1
239af83c0ee37f1ea4dabef09a684b27,15,15,1
2cc392fa99122a6073585db81217faf3,15,15,1
285f60f8cdd32bab96b8d135f5dc069b,15,15,1
4153ee60673f45b45b664f9cac2021e4,15,15,1
1ea121235658be2a8a65cbc10d779d7d,15,15,1
ae57bd108808e1e7f7bb477e62d99cf9,15,15,1
7ceb52bd8411389afaf9a4d975dc532d,15,15,1
53d4d2543c71ab9edd424c2cf66e8e9b,15,15,1
40ce723a5ce07c85741151946384ffb0,15,15,1
b3b85403c1f4fa48df9682499a6dfd64,15,15,1
cd1218c6056c1c834951442dadb610b4,15,15,1
9d752f8af4a691a1986cd93da853d4f2,15,15,1
d7318d613c5e2dd941ab315c1d45184c,15,15,1
094d79f4425355fc777b6cf7671240e2,15,15,1
abe309a1bf9fb9d7a3c3139384c1eb35,15,15,1
43a3e65247175ceeed6bb10822be8e64,15,15,1
328106974073f1f9cb554d9ce0e520ba,15,15,1
ac74de079e4dafa51bd5e57eb3eedc23,15,15,1
3a935ecf7dd138aadd26e0049831b1da,15,15,1
509502300e1d3b2d069d7f3701aca761,15,15,1
61e4d546281fcb4e5ed0ab70de91d87b,15,15,1
83d75bc9c56c30fb26da9d8586b64f78,15,15,1
06736b67220d67b45b45d730ab37c93f,15,15,1
fca573dd1f6aedea4c1bcd6833e6f135,15,15,1
c49fc79837e3bab88d1768ab2f9764b4,15,15,1
6d08c995d520c5498a5e632bab3f9bde,15,15,1
e0949443fc700601e792cdcac22694c9,15,15,1
778658e1c3125961158d3ee5fad70a04,15,15,1
b6a42a47d4b21cf7a34bc49ea7fb54cf,15,15,1
e243fdf10ba7eda87677ca9761da5add,15,15,1
e018c406e8f5dad477c5bd354a394070,15,15,1
68452da4c803e0b911ef8238c19f0a8a,15,15,1
0276b97d7bb3fb207c284029d7b38b22,15,15,1
47c6a77f1497b624a61a5ecb79da47f8,15,15,1
2849414e7c1a42c604ff7925da722083,15,15,1
acabf8f6171d262a52b6d56a385b854c,15,15,1
2795b9d21f67e1e1a19404d565d932d4,15,15,1
a4c979119882687293c3a9d0dc4b2163,15,15,1
97845ff54ffc025cabc9079e23264acc,15,15,1
e15a7e1ff8d1de3ede8b41695bea77f5,15,15,1
cbfa78a77780704b743a03cf14a62b45,15,15,1
6fa46ce61e638ef76f72c97dd695c17d,15,15,1
4e3b44584be66903c4774b6b44fa2489,15,15,1
cd289ad6f3947d2c68062b042b77b909,15,15,1
117a8b5e9b0aeb84596596939e233a93,15,15,1
7ac5a308ac43fa12fd373b2f4ae2f5d5,15,15,1
ce070be4aec473a457c2b97873ee607a,15,15,1
cffff0c8aa64c421992d63b943c74533,15,15,1
7c8a790716f754bb98371211e3189a32,15,15,1
ba23ed14d4d17e77eaf187c57ab637af,15,15,1
56ed59a0ee2205a39ca3af7e63536296,15,15,1
9764bc5d154139be5fcc652f2b338391,15,15,1
9d1e8d3132868423757e5eec737b26d8,15,15,1
