,Total abundance of ASVs,Number of ASVs
D018,5511.0,138
D124,5623.0,104
D125,5628.0,133
D106,5746.0,128
D097,5884.0,146
D019,6255.0,161
D113,6363.0,150
D122,6433.0,170
D014,6530.0,95
D034,6671.0,191
D105,6757.0,188
D108,6856.0,190
D080,6873.0,184
D118,6891.0,162
D010,6898.0,183
D082,6949.0,176
D051,7008.0,153
D012,7088.0,177
D100,7127.0,106
D123,7169.0,224
D015,7250.0,170
D115,7292.0,177
D117,7309.0,221
D119,7327.0,156
D016,7377.0,176
D084,7407.0,179
D027,7416.0,156
D033,7575.0,172
D009,7598.0,194
D111,7803.0,193
D107,7836.0,185
D116,7902.0,186
D047,7917.0,137
D032,7936.0,181
D013,8038.0,231
D040,8166.0,147
D011,8203.0,123
D071,8204.0,159
D096,8389.0,243
D110,8557.0,175
D029,8573.0,217
D098,8919.0,201
D089,8998.0,240
D039,9093.0,206
D067,9220.0,237
D130,9229.0,210
D057,9305.0,237
D037,9352.0,211
D070,9406.0,186
D008,9457.0,245
D038,9468.0,184
D128,9496.0,223
D087,9523.0,251
D048,9666.0,203
D002,9695.0,227
D072,9797.0,282
D031,9866.0,197
D120,9996.0,247
D035,10050.0,243
D103,10061.0,241
D068,10089.0,258
D083,10137.0,267
D006,10143.0,266
D069,10152.0,229
D081,10159.0,252
D114,10208.0,235
D121,10344.0,261
D085,10453.0,312
D104,10497.0,273
D099,10532.0,233
D055,10543.0,242
D030,10699.0,267
D022,10817.0,240
D036,10936.0,160
D003,11040.0,235
D095,11049.0,279
D007,11088.0,268
D050,11275.0,247
D112,11343.0,259
D094,11344.0,253
D126,11381.0,245
D101,11391.0,327
D086,11467.0,246
D129,11498.0,284
D127,11538.0,219
D091,11623.0,164
D077,11658.0,259
D078,11665.0,191
D001,11769.0,196
D046,11849.0,249
D092,11986.0,198
D024,12012.0,256
D076,12052.0,315
D026,12067.0,244
D049,12089.0,273
D058,12277.0,299
D079,12279.0,304
D020,12298.0,314
D042,12300.0,312
D025,12791.0,282
D066,12964.0,299
D088,13024.0,294
D059,13112.0,283
D023,13403.0,295
D090,13424.0,248
D109,13755.0,343
D102,13770.0,302
D093,13858.0,271
D075,13944.0,212
D021,13947.0,291
D041,14062.0,309
D043,14643.0,390
D074,14653.0,356
D005,15280.0,388
D073,15312.0,300
D065,15646.0,322
D064,15974.0,292
D061,18225.0,339
D062,24495.0,443
