feature	method	group1	group2	p_values	adj_method	p_adjust	description
EC:1.1.1.1	LinDA	negative	positive	0.865012059087526	BH	0.999791598211958	Alcohol dehydrogenase
EC:1.1.1.100	LinDA	negative	positive	0.832827101785288	BH	0.999791598211958	3-oxoacyl-[acyl-carrier-protein] reductase
EC:1.1.1.103	LinDA	negative	positive	0.317802353230858	BH	0.999791598211958	L-threonine 3-dehydrogenase
EC:1.1.1.108	LinDA	negative	positive	0.0569222323771562	BH	0.519515558442711	Carnitine 3-dehydrogenase
EC:1.1.1.11	LinDA	negative	positive	0.010884944149776	BH	0.189533422233852	D-arabinitol 4-dehydrogenase
EC:1.1.1.122	LinDA	negative	positive	0.970295256963683	BH	0.999791598211958	D-threo-aldose 1-dehydrogenase
EC:1.1.1.125	LinDA	negative	positive	0.430781587262155	BH	0.999791598211958	2-deoxy-D-gluconate 3-dehydrogenase
EC:1.1.1.130	LinDA	negative	positive	0.162133314103282	BH	0.8655645190863	3-dehydro-L-gulonate 2-dehydrogenase
EC:1.1.1.132	LinDA	negative	positive	0.668406055278257	BH	0.999791598211958	GDP-mannose 6-dehydrogenase
EC:1.1.1.133	LinDA	negative	positive	0.504811485180557	BH	0.999791598211958	dTDP-4-dehydrorhamnose reductase
EC:1.1.1.136	LinDA	negative	positive	0.713517292992082	BH	0.999791598211958	UDP-N-acetylglucosamine 6-dehydrogenase
EC:1.1.1.137	LinDA	negative	positive	0.100677677039676	BH	0.708215383313583	Ribitol-5-phosphate 2-dehydrogenase
EC:1.1.1.14	LinDA	negative	positive	0.505001183488094	BH	0.999791598211958	L-iditol 2-dehydrogenase
EC:1.1.1.140	LinDA	negative	positive	0.327792763101736	BH	0.999791598211958	Sorbitol-6-phosphate 2-dehydrogenase
EC:1.1.1.157	LinDA	negative	positive	0.976387124615797	BH	0.999791598211958	3-hydroxybutyryl-CoA dehydrogenase
EC:1.1.1.159	LinDA	negative	positive	0.418983202810218	BH	0.999791598211958	7-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.169	LinDA	negative	positive	0.540178702883183	BH	0.999791598211958	2-dehydropantoate 2-reductase
EC:1.1.1.17	LinDA	negative	positive	0.254855497822305	BH	0.999791598211958	Mannitol-1-phosphate 5-dehydrogenase
EC:1.1.1.179	LinDA	negative	positive	0.17713918959457	BH	0.903409866932307	D-xylose 1-dehydrogenase (NADP(+))
EC:1.1.1.18	LinDA	negative	positive	0.694541986377194	BH	0.999791598211958	Inositol 2-dehydrogenase
EC:1.1.1.193	LinDA	negative	positive	0.856040781900054	BH	0.999791598211958	5-amino-6-(5-phosphoribosylamino)uracil reductase
EC:1.1.1.2	LinDA	negative	positive	0.998535706626347	BH	0.999791598211958	Alcohol dehydrogenase (NADP(+))
EC:1.1.1.202	LinDA	negative	positive	0.529572084783052	BH	0.999791598211958	1,3-propanediol dehydrogenase
EC:1.1.1.205	LinDA	negative	positive	0.945338206566702	BH	0.999791598211958	IMP dehydrogenase
EC:1.1.1.206	LinDA	negative	positive	0.152636486640908	BH	0.841563331749871	Tropinone reductase I
EC:1.1.1.215	LinDA	negative	positive	0.00173489186440337	BH	0.0809110455408616	Gluconate 2-dehydrogenase
EC:1.1.1.219	LinDA	negative	positive	0.191920726864466	BH	0.947221651943977	Dihydrokaempferol 4-reductase
EC:1.1.1.22	LinDA	negative	positive	0.973592138121705	BH	0.999791598211958	UDP-glucose 6-dehydrogenase
EC:1.1.1.220	LinDA	negative	positive	0.480643118733257	BH	0.999791598211958	6-pyruvoyltetrahydropterin 2'-reductase
EC:1.1.1.23	LinDA	negative	positive	0.976301601578682	BH	0.999791598211958	Histidinol dehydrogenase
EC:1.1.1.25	LinDA	negative	positive	0.87453939318856	BH	0.999791598211958	Shikimate dehydrogenase
EC:1.1.1.251	LinDA	negative	positive	0.0571580298504508	BH	0.519515558442711	Galactitol-1-phosphate 5-dehydrogenase
EC:1.1.1.26	LinDA	negative	positive	0.485949876673854	BH	0.999791598211958	Glyoxylate reductase
EC:1.1.1.261	LinDA	negative	positive	0.752440687466832	BH	0.999791598211958	sn-glycerol-1-phosphate dehydrogenase
EC:1.1.1.262	LinDA	negative	positive	0.47268135320003	BH	0.999791598211958	4-hydroxythreonine-4-phosphate dehydrogenase
EC:1.1.1.264	LinDA	negative	positive	0.970295256963683	BH	0.999791598211958	L-idonate 5-dehydrogenase (NAD(P)(+))
EC:1.1.1.267	LinDA	negative	positive	0.947936822572083	BH	0.999791598211958	1-deoxy-D-xylulose-5-phosphate reductoisomerase
EC:1.1.1.27	LinDA	negative	positive	0.713793733235641	BH	0.999791598211958	L-lactate dehydrogenase
EC:1.1.1.271	LinDA	negative	positive	0.166228928350617	BH	0.874488001294363	GDP-L-fucose synthase
EC:1.1.1.28	LinDA	negative	positive	0.826753727178552	BH	0.999791598211958	D-lactate dehydrogenase
EC:1.1.1.281	LinDA	negative	positive	0.592919647085626	BH	0.999791598211958	GDP-4-dehydro-6-deoxy-D-mannose reductase
EC:1.1.1.282	LinDA	negative	positive	0.827104646337792	BH	0.999791598211958	Quinate/shikimate dehydrogenase
EC:1.1.1.284	LinDA	negative	positive	0.252483289659605	BH	0.999791598211958	S-(hydroxymethyl)glutathione dehydrogenase
EC:1.1.1.287	LinDA	negative	positive	0.0880584688448775	BH	0.659899382853858	D-arabinitol dehydrogenase (NADP(+))
EC:1.1.1.289	LinDA	negative	positive	0.0604341484232317	BH	0.543907335809085	Sorbose reductase
EC:1.1.1.29	LinDA	negative	positive	0.722954682412834	BH	0.999791598211958	Glycerate dehydrogenase
EC:1.1.1.290	LinDA	negative	positive	0.350933827503318	BH	0.999791598211958	4-phosphoerythronate dehydrogenase
EC:1.1.1.291	LinDA	negative	positive	0.970295256963683	BH	0.999791598211958	2-hydroxymethylglutarate dehydrogenase
EC:1.1.1.3	LinDA	negative	positive	0.829619155250141	BH	0.999791598211958	Homoserine dehydrogenase
EC:1.1.1.30	LinDA	negative	positive	0.789699601015701	BH	0.999791598211958	3-hydroxybutyrate dehydrogenase
EC:1.1.1.302	LinDA	negative	positive	0.412670935003818	BH	0.999791598211958	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
EC:1.1.1.303	LinDA	negative	positive	0.591490916455118	BH	0.999791598211958	Diacetyl reductase ((R)-acetoin forming)
EC:1.1.1.304	LinDA	negative	positive	0.660993920824031	BH	0.999791598211958	Diacetyl reductase ((S)-acetoin forming)
EC:1.1.1.305	LinDA	negative	positive	0.00740329682743767	BH	0.159838389731721	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
EC:1.1.1.306	LinDA	negative	positive	0.970295256963683	BH	0.999791598211958	S-(hydroxymethyl)mycothiol dehydrogenase
