feature	method	group1	group2	p_values	adj_method	p_adjust	description
EC:1.1.1.1	edgeR	negative	positive	0.959208860244952	BH	1	Alcohol dehydrogenase
EC:1.1.1.100	edgeR	negative	positive	0.948613532707705	BH	1	3-oxoacyl-[acyl-carrier-protein] reductase
EC:1.1.1.103	edgeR	negative	positive	0.607261540535068	BH	1	L-threonine 3-dehydrogenase
EC:1.1.1.108	edgeR	negative	positive	0.0255819527802381	BH	0.133433140069651	Carnitine 3-dehydrogenase
EC:1.1.1.11	edgeR	negative	positive	3.15399907393441e-26	BH	1.63532382297478e-24	D-arabinitol 4-dehydrogenase
EC:1.1.1.122	edgeR	negative	positive	8.72555233827763e-10	BH	1.40527316605945e-08	D-threo-aldose 1-dehydrogenase
EC:1.1.1.125	edgeR	negative	positive	0.623344487734991	BH	1	2-deoxy-D-gluconate 3-dehydrogenase
EC:1.1.1.130	edgeR	negative	positive	0.611616930108731	BH	1	3-dehydro-L-gulonate 2-dehydrogenase
EC:1.1.1.132	edgeR	negative	positive	0.91895331418825	BH	1	GDP-mannose 6-dehydrogenase
EC:1.1.1.133	edgeR	negative	positive	0.863847627510626	BH	1	dTDP-4-dehydrorhamnose reductase
EC:1.1.1.136	edgeR	negative	positive	0.882902186943044	BH	1	UDP-N-acetylglucosamine 6-dehydrogenase
EC:1.1.1.137	edgeR	negative	positive	0.285980615920519	BH	0.888577515656566	Ribitol-5-phosphate 2-dehydrogenase
EC:1.1.1.14	edgeR	negative	positive	0.84239566156084	BH	1	L-iditol 2-dehydrogenase
EC:1.1.1.140	edgeR	negative	positive	0.00080243031732315	BH	0.00621629562280719	Sorbitol-6-phosphate 2-dehydrogenase
EC:1.1.1.157	edgeR	negative	positive	0.98996958513808	BH	1	3-hydroxybutyryl-CoA dehydrogenase
EC:1.1.1.159	edgeR	negative	positive	0.970105480499256	BH	1	7-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.169	edgeR	negative	positive	0.900501192716176	BH	1	2-dehydropantoate 2-reductase
EC:1.1.1.17	edgeR	negative	positive	0.295435420287911	BH	0.911518391981199	Mannitol-1-phosphate 5-dehydrogenase
EC:1.1.1.179	edgeR	negative	positive	1.08455385610065e-06	BH	1.11867465157348e-05	D-xylose 1-dehydrogenase (NADP(+))
EC:1.1.1.18	edgeR	negative	positive	0.990460414538599	BH	1	Inositol 2-dehydrogenase
EC:1.1.1.193	edgeR	negative	positive	0.982186725166315	BH	1	5-amino-6-(5-phosphoribosylamino)uracil reductase
EC:1.1.1.2	edgeR	negative	positive	0.976036551965801	BH	1	Alcohol dehydrogenase (NADP(+))
EC:1.1.1.202	edgeR	negative	positive	0.0253321200431953	BH	0.133276273852851	1,3-propanediol dehydrogenase
EC:1.1.1.205	edgeR	negative	positive	0.993074797084731	BH	1	IMP dehydrogenase
EC:1.1.1.206	edgeR	negative	positive	0.644767310036646	BH	1	Tropinone reductase I
EC:1.1.1.215	edgeR	negative	positive	9.64946622268733e-09	BH	1.35239847212625e-07	Gluconate 2-dehydrogenase
