feature	method	group1	group2	p_values	adj_method	p_adjust	description
EC:1.1.1.1	limma voom	negative	positive	0.540593489926159	BH	0.83758332357874	Alcohol dehydrogenase
EC:1.1.1.100	limma voom	negative	positive	2.88835433710493e-10	BH	1.32575464073116e-07	3-oxoacyl-[acyl-carrier-protein] reductase
EC:1.1.1.103	limma voom	negative	positive	0.125467700090933	BH	0.551097362121897	L-threonine 3-dehydrogenase
EC:1.1.1.108	limma voom	negative	positive	0.0514258257469344	BH	0.376166597893911	Carnitine 3-dehydrogenase
EC:1.1.1.11	limma voom	negative	positive	0.0127946255384966	BH	0.16855177782323	D-arabinitol 4-dehydrogenase
EC:1.1.1.122	limma voom	negative	positive	0.217106895695945	BH	0.664347100829592	D-threo-aldose 1-dehydrogenase
EC:1.1.1.125	limma voom	negative	positive	0.291640051135341	BH	0.742246840976902	2-deoxy-D-gluconate 3-dehydrogenase
EC:1.1.1.130	limma voom	negative	positive	0.164931123275639	BH	0.613142667866441	3-dehydro-L-gulonate 2-dehydrogenase
EC:1.1.1.132	limma voom	negative	positive	0.709941461967643	BH	0.924434414306803	GDP-mannose 6-dehydrogenase
EC:1.1.1.133	limma voom	negative	positive	0.975605085844666	BH	0.996428833203647	dTDP-4-dehydrorhamnose reductase
EC:1.1.1.136	limma voom	negative	positive	0.736610612321163	BH	0.934729937457507	UDP-N-acetylglucosamine 6-dehydrogenase
EC:1.1.1.137	limma voom	negative	positive	0.0994364847831445	BH	0.492089989385049	Ribitol-5-phosphate 2-dehydrogenase
EC:1.1.1.14	limma voom	negative	positive	0.368519482067956	BH	0.773314449061997	L-iditol 2-dehydrogenase
EC:1.1.1.140	limma voom	negative	positive	0.260628200894545	BH	0.716337390482612	Sorbitol-6-phosphate 2-dehydrogenase
EC:1.1.1.157	limma voom	negative	positive	0.92870359049298	BH	0.992376767531536	3-hydroxybutyryl-CoA dehydrogenase
EC:1.1.1.159	limma voom	negative	positive	0.723576867026366	BH	0.928916409852981	7-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.169	limma voom	negative	positive	0.703667564945763	BH	0.923469370436327	2-dehydropantoate 2-reductase
EC:1.1.1.17	limma voom	negative	positive	0.247922705659536	BH	0.706810695016938	Mannitol-1-phosphate 5-dehydrogenase
EC:1.1.1.179	limma voom	negative	positive	0.135537862560304	BH	0.565562535592541	D-xylose 1-dehydrogenase (NADP(+))
EC:1.1.1.18	limma voom	negative	positive	0.898284074202177	BH	0.979771330530892	Inositol 2-dehydrogenase
EC:1.1.1.193	limma voom	negative	positive	0.89033863757522	BH	0.979771330530892	5-amino-6-(5-phosphoribosylamino)uracil reductase
EC:1.1.1.2	limma voom	negative	positive	0.909508825143547	BH	0.982847676847294	Alcohol dehydrogenase (NADP(+))
EC:1.1.1.202	limma voom	negative	positive	0.462988450155265	BH	0.79861673909326	1,3-propanediol dehydrogenase
EC:1.1.1.205	limma voom	negative	positive	0.396687105040571	BH	0.7735535774321	IMP dehydrogenase
EC:1.1.1.206	limma voom	negative	positive	0.169581711384653	BH	0.613884484617466	Tropinone reductase I
EC:1.1.1.215	limma voom	negative	positive	0.00542745488045163	BH	0.127583676039855	Gluconate 2-dehydrogenase
EC:1.1.1.219	limma voom	negative	positive	0.289045834232802	BH	0.742246840976902	Dihydrokaempferol 4-reductase
EC:1.1.1.22	limma voom	negative	positive	0.862644300849166	BH	0.973569316965398	UDP-glucose 6-dehydrogenase
EC:1.1.1.220	limma voom	negative	positive	0.520898405644688	BH	0.827309232494504	6-pyruvoyltetrahydropterin 2'-reductase
EC:1.1.1.23	limma voom	negative	positive	0.538929739924636	BH	0.837362024899012	Histidinol dehydrogenase
EC:1.1.1.25	limma voom	negative	positive	0.871671474207812	BH	0.97935871229314	Shikimate dehydrogenase
EC:1.1.1.251	limma voom	negative	positive	0.0852611949796397	BH	0.476500180389257	Galactitol-1-phosphate 5-dehydrogenase
EC:1.1.1.26	limma voom	negative	positive	0.431863397425641	BH	0.786608331025275	Glyoxylate reductase
EC:1.1.1.261	limma voom	negative	positive	0.997423880886121	BH	0.998511584136815	sn-glycerol-1-phosphate dehydrogenase
EC:1.1.1.262	limma voom	negative	positive	0.216047919956243	BH	0.663317694046258	4-hydroxythreonine-4-phosphate dehydrogenase
EC:1.1.1.264	limma voom	negative	positive	0.198393019427031	BH	0.648130931793646	L-idonate 5-dehydrogenase (NAD(P)(+))
EC:1.1.1.267	limma voom	negative	positive	0.416803104886821	BH	0.77848474117213	1-deoxy-D-xylulose-5-phosphate reductoisomerase
EC:1.1.1.27	limma voom	negative	positive	0.270445141477072	BH	0.732355869840567	L-lactate dehydrogenase
EC:1.1.1.271	limma voom	negative	positive	0.062108416123696	BH	0.42182248848243	GDP-L-fucose synthase
EC:1.1.1.28	limma voom	negative	positive	0.507458294583314	BH	0.824529442066373	D-lactate dehydrogenase
EC:1.1.1.281	limma voom	negative	positive	0.633426794986522	BH	0.888442777383693	GDP-4-dehydro-6-deoxy-D-mannose reductase
EC:1.1.1.282	limma voom	negative	positive	0.893617533616305	BH	0.979771330530892	Quinate/shikimate dehydrogenase
EC:1.1.1.284	limma voom	negative	positive	0.288561054829059	BH	0.742246840976902	S-(hydroxymethyl)glutathione dehydrogenase
EC:1.1.1.287	limma voom	negative	positive	0.0860778750625453	BH	0.476500180389257	D-arabinitol dehydrogenase (NADP(+))
EC:1.1.1.289	limma voom	negative	positive	0.059699127784273	BH	0.416758930083366	Sorbose reductase
EC:1.1.1.29	limma voom	negative	positive	0.0412365969553126	BH	0.327849640485508	Glycerate dehydrogenase
EC:1.1.1.290	limma voom	negative	positive	0.509940536195572	BH	0.824529442066373	4-phosphoerythronate dehydrogenase
EC:1.1.1.291	limma voom	negative	positive	0.836192060900923	BH	0.964049719184755	2-hydroxymethylglutarate dehydrogenase
EC:1.1.1.3	limma voom	negative	positive	0.656657361255862	BH	0.905029302336591	Homoserine dehydrogenase
EC:1.1.1.30	limma voom	negative	positive	0.831713063699005	BH	0.962815375126969	3-hydroxybutyrate dehydrogenase
EC:1.1.1.302	limma voom	negative	positive	0.384680977938575	BH	0.773314449061997	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
EC:1.1.1.303	limma voom	negative	positive	0.941930231721892	BH	0.9960043678229	Diacetyl reductase ((R)-acetoin forming)
EC:1.1.1.304	limma voom	negative	positive	0.640290935203941	BH	0.892149863354578	Diacetyl reductase ((S)-acetoin forming)
EC:1.1.1.305	limma voom	negative	positive	0.00494653960840792	BH	0.127583676039855	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
EC:1.1.1.306	limma voom	negative	positive	0.992481787509836	BH	0.996428833203647	S-(hydroxymethyl)mycothiol dehydrogenase
EC:1.1.1.308	limma voom	negative	positive	0.901055993333239	BH	0.980058533033073	Sulfopropanediol 3-dehydrogenase
EC:1.1.1.31	limma voom	negative	positive	0.546762930110749	BH	0.842868799062414	3-hydroxyisobutyrate dehydrogenase
EC:1.1.1.310	limma voom	negative	positive	0.513613081989972	BH	0.824529442066373	(S)-sulfolactate dehydrogenase
EC:1.1.1.313	limma voom	negative	positive	0.0246838800085731	BH	0.258969163975658	Sulfoacetaldehyde reductase
EC:1.1.1.320	limma voom	negative	positive	0.774505343961043	BH	0.946915438249809	Benzil reductase ((S)-benzoin forming)
EC:1.1.1.333	limma voom	negative	positive	0.4128846270256	BH	0.775108563618611	Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
EC:1.1.1.335	limma voom	negative	positive	0.286689756506652	BH	0.742246840976902	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
EC:1.1.1.336	limma voom	negative	positive	0.776570708918842	BH	0.946915438249809	UDP-N-acetyl-D-mannosamine dehydrogenase
EC:1.1.1.337	limma voom	negative	positive	0.903980127430739	BH	0.980372760280909	L-2-hydroxycarboxylate dehydrogenase (NAD(+))
EC:1.1.1.339	limma voom	negative	positive	0.129105443430096	BH	0.555368501526569	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))
EC:1.1.1.34	limma voom	negative	positive	0.393396348270101	BH	0.773314449061997	Hydroxymethylglutaryl-CoA reductase (NADPH)
EC:1.1.1.343	limma voom	negative	positive	0.575482589262375	BH	0.853499192784271	Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)
EC:1.1.1.346	limma voom	negative	positive	0.195603769997586	BH	0.647219101269128	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)
EC:1.1.1.35	limma voom	negative	positive	0.213717422841608	BH	0.66289632976709	3-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.350	limma voom	negative	positive	0.69844535028102	BH	0.921555394055797	Ureidoglycolate dehydrogenase (NAD(+))
EC:1.1.1.36	limma voom	negative	positive	0.797640977750973	BH	0.951571692755547	Acetoacetyl-CoA reductase
EC:1.1.1.363	limma voom	negative	positive	0.878907525518185	BH	0.979771330530892	Glucose-6-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.367	limma voom	negative	positive	0.78151457241305	BH	0.946915438249809	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
EC:1.1.1.369	limma voom	negative	positive	0.898284074202177	BH	0.979771330530892	D-chiro-inositol 1-dehydrogenase
EC:1.1.1.37	limma voom	negative	positive	0.625288024369186	BH	0.882420301876883	Malate dehydrogenase
EC:1.1.1.370	limma voom	negative	positive	0.225086795312208	BH	0.677806990074127	Scyllo-inositol 2-dehydrogenase (NAD(+))
EC:1.1.1.373	limma voom	negative	positive	0.00725931289051346	BH	0.142833147744775	Sulfolactaldehyde 3-reductase
EC:1.1.1.374	limma voom	negative	positive	0.388487931338722	BH	0.773314449061997	UDP-N-acetylglucosamine 3-dehydrogenase
EC:1.1.1.38	limma voom	negative	positive	0.747254108345577	BH	0.938914198046733	Malate dehydrogenase (oxaloacetate-decarboxylating)
EC:1.1.1.380	limma voom	negative	positive	0.899941238460873	BH	0.979771330530892	L-gulonate 5-dehydrogenase
EC:1.1.1.381	limma voom	negative	positive	0.103273726847693	BH	0.50515658649305	3-hydroxy acid dehydrogenase
EC:1.1.1.39	limma voom	negative	positive	0.40613239589329	BH	0.773634638539475	Malate dehydrogenase (decarboxylating)
EC:1.1.1.4	limma voom	negative	positive	0.941930231721892	BH	0.9960043678229	(R,R)-butanediol dehydrogenase
EC:1.1.1.40	limma voom	negative	positive	0.675508684215768	BH	0.912309924531458	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
EC:1.1.1.41	limma voom	negative	positive	0.159833824525825	BH	0.605061653256525	Isocitrate dehydrogenase (NAD(+))
EC:1.1.1.42	limma voom	negative	positive	0.217970718531146	BH	0.665880597709125	Isocitrate dehydrogenase (NADP(+))
EC:1.1.1.43	limma voom	negative	positive	0.989212452221021	BH	0.996428833203647	Phosphogluconate 2-dehydrogenase
EC:1.1.1.44	limma voom	negative	positive	0.575482589262375	BH	0.853499192784271	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)
EC:1.1.1.47	limma voom	negative	positive	0.495998277232189	BH	0.816729001792196	Glucose 1-dehydrogenase (NAD(P)(+))
