feature	method	group1	group2	p_values	adj_method	p_adjust	description
K00001	LinDA	negative	positive	0.658794689051054	BH	0.998916294953412	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
K00002	LinDA	negative	positive	0.989710364643994	BH	0.99893230333488	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	LinDA	negative	positive	0.951881421589186	BH	0.998916294953412	hom; homoserine dehydrogenase [EC:1.1.1.3]
K00004	LinDA	negative	positive	0.612164761940891	BH	0.998916294953412	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	LinDA	negative	positive	0.424431153033975	BH	0.935779794461532	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00007	LinDA	negative	positive	0.00901567937218494	BH	0.104880209374845	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	LinDA	negative	positive	0.671571197811548	BH	0.998916294953412	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	LinDA	negative	positive	0.261961693668807	BH	0.825044303255882	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	LinDA	negative	positive	0.762143637146172	BH	0.998916294953412	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012	LinDA	negative	positive	0.968013149659811	BH	0.998916294953412	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	LinDA	negative	positive	0.968329989754957	BH	0.998916294953412	hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	LinDA	negative	positive	0.85454872203234	BH	0.998916294953412	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	LinDA	negative	positive	0.492118108267152	BH	0.998916294953412	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00016	LinDA	negative	positive	0.739344016954694	BH	0.998916294953412	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00018	LinDA	negative	positive	0.835988992567682	BH	0.998916294953412	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	LinDA	negative	positive	0.799442175585409	BH	0.998916294953412	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	LinDA	negative	positive	0.640986124921408	BH	0.998916294953412	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	LinDA	negative	positive	0.350969933803153	BH	0.84264561066335	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00023	LinDA	negative	positive	0.931368016898089	BH	0.998916294953412	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	LinDA	negative	positive	0.987221836254795	BH	0.998916294953412	mdh; malate dehydrogenase [EC:1.1.1.37]
K00027	LinDA	negative	positive	0.874136229015396	BH	0.998916294953412	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	LinDA	negative	positive	0.929465804556695	BH	0.998916294953412	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	LinDA	negative	positive	0.930157530051919	BH	0.998916294953412	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	LinDA	negative	positive	0.404612291883897	BH	0.909558904860416	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	LinDA	negative	positive	0.894141030035078	BH	0.998916294953412	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00032	LinDA	negative	positive	0.929465804556695	BH	0.998916294953412	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	LinDA	negative	positive	0.506354721684778	BH	0.998916294953412	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
