feature	method	group1	group2	p_values	adj_method	p_adjust	description
K00001	limma voom	negative	positive	0.575068482394387	BH	0.792437624589469	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
K00002	limma voom	negative	positive	0.699934675129195	BH	0.866193508420793	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	limma voom	negative	positive	0.310272751644517	BH	0.617714732013033	hom; homoserine dehydrogenase [EC:1.1.1.3]
K00004	limma voom	negative	positive	0.975370781305536	BH	0.986674747314044	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	limma voom	negative	positive	0.791029352258764	BH	0.919381651569536	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00007	limma voom	negative	positive	0.00681294963859865	BH	0.0899073915590448	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	limma voom	negative	positive	0.43111018909379	BH	0.689228419294253	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	limma voom	negative	positive	0.262319869980691	BH	0.56575164333993	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	limma voom	negative	positive	0.877646834508101	BH	0.943295563497489	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012	limma voom	negative	positive	0.544681222040755	BH	0.765591649618852	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	limma voom	negative	positive	0.0189282919708051	BH	0.136241525239895	hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	limma voom	negative	positive	0.0421351779671389	BH	0.21343575169498	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	limma voom	negative	positive	0.415733550708865	BH	0.689228419294253	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00016	limma voom	negative	positive	0.125539647357282	BH	0.381467177542249	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00018	limma voom	negative	positive	0.161440648878687	BH	0.438484137244565	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	limma voom	negative	positive	0.816267188723615	BH	0.934570278436751	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
