,Total abundance of ASV,Maximum abundance in samples,Number of Samples
0bb8866745d9520026fec8cb57034e79,1,1,1
22630ffa73e98fe0b206414c9f171c6f,1,1,1
f440b0ac7b5511a667f8f2d11fd571b7,1,1,1
33c7a0a22e6dbccc8d81b4ca83d561d6,1,1,1
dc0bfadecf1d0aeedf6e7d2c15199f4a,1,1,1
2fc955979f418df1201b806e70aba56b,1,1,1
15dab7d32113e14696ee308a04b6a490,1,1,1
4144764a3f1681d501ac6bce32bfbc0a,1,1,1
4a5ee341ad5df5e531b4a14f0b805d4a,1,1,1
f8e9a007fed8b7e73843d37ca7515a6c,1,1,1
b5aa9cb68b1b7cc4e4bf970fb180a524,1,1,1
fab3f9fb71d7f842147376c4fb4da74b,1,1,1
64f01d29fb2e5ee5d8ac58320eb2086b,1,1,1
27d78426b82e6c7080bf9d46329a77be,1,1,1
e894b5825cab9b1934da9b5668b5887f,1,1,1
5426dd6c53e7ceb2b84daed54efd16e4,1,1,1
76f9bea7a2ee032cb6e3a5fd2ea9793d,1,1,1
410ea067ca331a1131810847438f9f92,1,1,1
4ae052f3378392f92df238fb5e2ffbc6,1,1,1
17c48e54850d3d6422a23bb7e549d255,1,1,1
ed1730b75678ef7a9480e50d37d510ea,1,1,1
52cf8ad91829f2903c16511e92d61c77,1,1,1
3c375ad26f5364978d83c93228e7b6bf,1,1,1
559d7f67cb926445f22dd89bf308c20b,1,1,1
c386bca10d89afe51d4f14716f45b00c,1,1,1
042ae3947d714d9ad492291e35688374,1,1,1
211693c0c18d963f64f9cf662b672f89,1,1,1
4c526ac413b16d835807057a3c92a2fe,1,1,1
fb2cc25436a8eb3862baa8eb9a0f0067,1,1,1
1530f7c88139c0200135b2e6076a0076,1,1,1
2074ebce0503471d293ce664211b4160,1,1,1
d2be934ad0dbbaed849bd169a29fa2b7,1,1,1
ba24094d951a61c0f9e284a4a7b6d0ce,1,1,1
fbbe92922341da283672bf6f90a40b90,1,1,1
a424bd21bce00c8448bc829ad47ac84e,1,1,1
020cca977025f6f9b50ba5bf6a9b59f4,1,1,1
01c66d8d3e534ade77e6eebe5f716fb9,1,1,1
7e6d31a812ab1cd3be8fd1cb99e73dd7,1,1,1
b12f00cc79393aac7bb4026b4973a580,1,1,1
f00d67d2e752d97025864cb67aae08c1,1,1,1
6f31d3b236b96a1a6c5d20d6b1c3c326,1,1,1
d65520017d743687142a57f87e5728cf,1,1,1
f8992cb3c9fe5d49f5a1a3ed80e67b6a,1,1,1
70f77a6f4496a513d8cc4cf6bd9158e7,1,1,1
6630a087d3b7fd5be831ac2bca2f1872,1,1,1
80d91a7a360efa83704a95cfb52a4deb,1,1,1
2ca7cf6a4865c9f8944352412a8ce340,1,1,1
3a1d78b1cc54580e062c0ac44408c997,1,1,1
b59a7053af1eb461d68173e04058920b,1,1,1
151fce50cacc7465118ac33ce8460fc1,1,1,1
8005855eb4f1767cfc4985b9adca4187,1,1,1
fb7a9ea82a72e9c21b86d06b8134aa71,1,1,1
ef5379c347f9af07a4f5bbc3a940a0c1,1,1,1
0755c167444b7ebb6519e07bd8bc528b,1,1,1
e4199051b0a7d6b9a02b91e1db534db6,1,1,1
009fa2a1b0a82cf1e97207f05c30c1a6,1,1,1
02829cacc4a18bc0fb479101e7e55063,1,1,1
a5918d13c10fc632555e6c18e6aaf641,1,1,1
20b4f1940e4454b6900a8149af5f5124,1,1,1
785bee7b064bdf2748cd12f6a4d84b6c,1,1,1
d438e5b92815da7fd052dd62dacf6d25,1,1,1
ebfb153c9eb9d5590cc738c89776aa46,1,1,1
256e6f3528740e037f43347baeeed700,1,1,1
abc6538922640e40270e8aacf35953bd,1,1,1
3b449cdfc9e97068a1d02c28e971ad19,1,1,1
5815a524dac8ab6e247da10da5a92826,1,1,1
671e9f4cbcb728b83164567fbb049787,1,1,1
c4b8147243854f297d42cbdcab71dfff,1,1,1
788ab1a43c425ecd852ca4db54c5f6b8,1,1,1
a2624293ffe2fe14f908e2a54fc23dd7,1,1,1
c30db9cd3f9627a748eeb6f78b6da832,1,1,1
31300000a39d5f077ee9cf1a2742ea83,1,1,1
607d2bba7884d7bb1f75f56775a7ba79,1,1,1
e2c9dcad003c5d954a70e0a5706bf161,1,1,1
15ded4659731c1bbf2ffa270820a0d42,1,1,1
7f7f74bac04359ba4ba2a3b42c0f9987,1,1,1
ffb059083e4118b0ff4caa528550ac59,1,1,1
4cbd97749bed022d7c317469b9a95728,1,1,1
13af34a867866b8b873ea571a166e8f1,1,1,1
a2119305467ff228b88f6dc5706fd23c,1,1,1
3a1f6fecf75074ab166f2a68664119af,1,1,1
a4b055f6770f88f96a150ecc79650270,1,1,1
9af5e9b632f688067dd2d36cb4ea1961,1,1,1
2ee2060506c71f69fd6668b2f2019295,1,1,1
02eb668d4b2848e8fbf8eac9ec9b3cc3,1,1,1
0dab7f90f74506603b4f91f1a2803e51,1,1,1
e9e680d08e71ad92fb09d341f97c29b4,1,1,1
95eb7b15ac57e363923bf1d2472b5ba9,1,1,1
62dfb5186023deac91b49e7a7c4dc962,1,1,1
d81364e85480bd66249714418695e260,1,1,1
1e0d3afc22757c093e974ae9a0335988,1,1,1
81c5bff7ebf715e2304c597805fdbf50,1,1,1
8c6dd82e398cf9ae0a1ca615916317ef,1,1,1
02bae29a768e3c59bf8ec567e2395aa7,1,1,1
0b1378e030d790f36e8eaa1044ada511,1,1,1
78b8fb5f42116f3eca846db39857e56d,1,1,1
409bf5b07934a6bef49b1ff5216575b5,1,1,1
393904c1d6f6a87894674ae3ea4ec478,1,1,1
55ac60cdedee6d81bbb8f5482fdfb79a,1,1,1
11ac2f87491daa3bb8bffb81d9415088,1,1,1
db0ceccbd48da2f31f4ef2dc87ed6a55,1,1,1
8d82e751c47d697e83038ff374f08385,1,1,1
8a4e73d7446d3bb4d4ffbb4f92751503,1,1,1
2dbf5528de63ea2c578fe2e98120d257,1,1,1
bc62f7a175b97a967890adfea567f4aa,1,1,1
93cd6f91bbc68c01d4effcbda7b2d9d9,1,1,1
552b60a0ca0d33b26ea1b540e825c11c,1,1,1
48f9f22feb34f24e4d5650feef5f3e93,1,1,1
dda730e3d47d4291672681ed2270d248,1,1,1
c585b9c30fa2d74aa0c51a443affc1c9,1,1,1
21afad00d7ef81faca571f95d63a56a8,1,1,1
d6b904b2dfd55d3574bf00fc6e5e4cec,1,1,1
8eb88e4b2cc6c90e2b54dbb437f8a54c,1,1,1
118c73ba4723562c4056e6190fbcfd22,1,1,1
f95f2ffd008ce96559c31c1bfcb80560,1,1,1
c886f1cc7cdcb012ad0f346949779253,1,1,1
8575b78aa3c5c48ff4d8029c3546ffb3,1,1,1
0c4bb354bf15b25dcddab281f2f01e98,1,1,1
d821b28737dcc25048558be7000d3dcd,1,1,1
63652af7b1213a83fb29fa270e886391,1,1,1
4271f7f1130e587989aa15e2b830f853,1,1,1
309a3b4cd1b98d68fe27bcc0c8e98271,1,1,1
156c266787b612a3eecc995edcadc35e,1,1,1
95249d01f7f51c25892c2443a45d0fd5,1,1,1
efd26aa420a1d7c9578275c1b6d88c64,1,1,1
6b0f3288514711ee9d833a0e732ad74c,1,1,1
48a1f2d326ddcd9d5e870aed1ddb871b,1,1,1
7a729404107a467356a3d0dd5ddb5b27,1,1,1
4806f9c5cb0120d765841a42060a679c,1,1,1
0ebe262c0b5c711e4f3dca8f978a1eec,1,1,1
a0f9ad0beffc5f0b80570f1f86f1e60b,1,1,1
e37c3e854ad4ea8969d97e82329af750,1,1,1
60643d402d798824b8c485a44de0fae1,1,1,1
c9f4ecdba29ad49c23e068adad97bebe,1,1,1
8b109105ddfa095e0c0433ed1f53d6c2,1,1,1
05b6df6454d1703663e6ee4208039cc1,1,1,1
02564d805283d984f73a1a678e26ff13,1,1,1
ba3a9657a6bd5bd2fb2524e2a02306b8,1,1,1
627daf4c8e633966f138138f3a52d94a,1,1,1
b2c98677365aaaed51aab5dbe92c881d,2,2,1
b3c037c1df0a0527d7c3fb05daa03600,2,2,1
c7da13dc5f1e1896280f9d4fc86f7e05,2,2,1
a34de94a35cad5568d07e3aa226ef277,2,2,1
ae11109fe1e1ff3023114ce8429aaa02,2,2,1
5eb9ecd4e4a186279b4d4a69db2caf1a,2,2,1
cad8b9962747602c3d2ba3da4825c599,2,2,1
599a5db3f697cdca4d8c7194c212a74f,2,2,1
3802862707fcbbcba19a0c152e2b7ddc,2,2,1
83ab8fc10608c0e648d885cc4d747c44,2,2,1
a208474b31790b9f377b10d1731b6552,2,2,1
e8c38e20fca7766649fb78bb764ef0bf,2,2,1
c38a5e5c88c268075f383aaf6d3b6421,2,2,1
242f937305612f2400633c628c5044de,2,2,1
789baf321cca3e50e22df352b8c7081b,2,2,1
b86be1c98abb6c045be94c4d1aae55cd,2,2,1
3c3092e65d60b74398dec051985c66a4,2,2,1
f274d5caaded3d706dcaf0873e15f397,2,2,1
62039f23139233f6481eb17c4a9c8694,2,2,1
074304f31fc83aab728f75a5cfbedcf9,2,2,1
81d9c8fd0c4d0f821d4c4d9037519616,2,2,1
d053afcc5e78b83504680471b352dd2f,2,2,1
0e618d49ef7821e5f0315301f9d0fda8,2,2,1
f1f1a671f9d48bbbe94bb61f6c8b909f,2,2,1
d581def0ad2aef9679f5ddf1d56cc0ff,2,2,1
20c343bbedd1f7272e1359d44251fe36,2,2,1
feebf22620441ac93534af2a0334af1a,2,2,1
7ca814b25c32d6bff30e8851c3021f05,2,2,1
1e121157ea37162190ed8e89d3571132,2,2,1
58a0e2aa552e751decdd70841cd19372,2,2,1
3e9322759a3dbd54f0b2a70f34ab633b,2,2,1
33302a01b658b8af5cd8a76a0daf3be5,2,2,1
a212e4b1bdc14e961e552fd4111a970b,2,2,1
1547815c138b6ffc808a378a8f4ec820,2,2,1
8c7802799a10ed9b0a3912dcd4919acc,2,2,1
d0241a44b0dbe89a3fa960341101c696,2,2,1
de4feefbf90413e122dc84f3af456e20,2,2,1
d61c87aa194cd265efbd0882889e9d57,2,2,1
a34dd7c622d7d131e5656595434639ab,2,2,1
e75201f3fe6ca08af39952b9e09d887e,2,2,1
497cbc27668324dfa18edf40f3a7243f,2,2,1
9c207007cc729e09705519d36dbcbf6a,2,2,1
f34c91825db9a719871349a5a7bea6da,2,2,1
40bfc7813438c4bd8f2aebc0398bd480,2,2,1
6725f8a26bfebf257784da00b36ce3ac,2,2,1
9fbf09e071fc41582e23bd64d6615246,2,2,1
581ef81ec9ade4e4b90fd8cb53800c1e,2,2,1
ddb497b1111f4cb25ea6308a76d11da3,2,2,1
891dbde4637fa2155aed5f96e9e49d2f,2,2,1
9a6d3a1615ea2509da50ec8e212e1402,2,2,1
e1e1f6cb2f1f02834a44f251ce0aa546,2,2,1
1acb88a8f5a81b7b796c7cf529773f16,2,2,1
ad4390907ade721406d9ba21c8dcedac,2,2,1
44d5ff9e420fa45de91d9e9a47eb0e1f,2,2,1
