feature	method	group1	group2	p_values	adj_method	p_adjust	description
K00001	edgeR	negative	positive	0.83585464871773	BH	1	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
K00002	edgeR	negative	positive	0.975013334575177	BH	1	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	edgeR	negative	positive	0.97294600999339	BH	1	hom; homoserine dehydrogenase [EC:1.1.1.3]
K00004	edgeR	negative	positive	0.72783048341549	BH	1	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	edgeR	negative	positive	0.796714371478687	BH	1	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00007	edgeR	negative	positive	4.55518469168523e-18	BH	1.86793144068435e-16	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	edgeR	negative	positive	0.875919890711352	BH	1	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	edgeR	negative	positive	0.406676726299685	BH	0.909245399196633	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	edgeR	negative	positive	0.982687883620503	BH	1	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012	edgeR	negative	positive	0.989750399148343	BH	1	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	edgeR	negative	positive	0.983047678910353	BH	1	hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	edgeR	negative	positive	0.978750159100868	BH	1	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	edgeR	negative	positive	0.112876028387394	BH	0.392082167963034	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00016	edgeR	negative	positive	0.894660753994985	BH	1	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00018	edgeR	negative	positive	0.926368273553163	BH	1	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	edgeR	negative	positive	0.538720756102156	BH	1	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	edgeR	negative	positive	0.866537659078826	BH	1	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	edgeR	negative	positive	0.359946897529473	BH	0.845549997656701	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00023	edgeR	negative	positive	0.438810210640225	BH	0.947121495363511	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	edgeR	negative	positive	0.958243735097306	BH	1	mdh; malate dehydrogenase [EC:1.1.1.37]
K00027	edgeR	negative	positive	0.937239315920056	BH	1	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
